fecha,tmin,tmed,tmax,co2,nombre
2050-12-31,23.652888500909043,27.74195810082829,31.82952208998981,475.893067125708,VALÈNCIA
2051-12-31,23.71275874202368,27.80144439213772,31.88862011606275,478.09482641009936,VALÈNCIA
2052-12-31,23.77264620038907,27.860947790283124,31.94773513731586,480.2972188678506,VALÈNCIA
2053-12-31,23.83254966833074,27.92046709533487,32.006865961651414,482.500200086104,VALÈNCIA
2054-12-31,23.89246802288447,27.98000119153035,32.066011480589346,484.7037287672652,VALÈNCIA
2055-12-31,23.952400219854404,28.03954904137017,32.125170663402,486.9077665104888,VALÈNCIA
2056-12-31,24.01234528828804,28.099109680128574,32.18434255166035,489.1122776084909,VALÈNCIA
2057-12-31,24.07230232533868,28.15868221074885,32.243526254162745,491.3172288586133,VALÈNCIA
2058-12-31,24.132270491488217,28.218265799096752,32.30272094221931,493.5225893871416,VALÈNCIA
2059-12-31,24.19224900610514,28.277859669546977,32.36192584526722,495.7283304859451,VALÈNCIA
2060-12-31,24.25223714331397,28.337463100879116,32.42114024679346,497.9344254605753,VALÈNCIA
2061-12-31,24.312234228154512,28.39707542246152,32.48036348054357,500.1408494890201,VALÈNCIA
2062-12-31,24.37223963301053,28.456696010702863,32.53959492699639,502.347579490365,VALÈNCIA
2063-12-31,24.43225277428881,28.516324285752543,32.598834010085966,504.5545940026663,VALÈNCIA
2064-12-31,24.49227310933132,28.57595970843261,32.65808019415357,506.7618730693916,VALÈNCIA
2065-12-31,24.5523001335438,28.635601777384775,32.717332981113245,508.9693981338252,VALÈNCIA
2066-12-31,24.61233337772593,28.695250026417728,32.77659190781652,511.1771519408805,VALÈNCIA
2067-12-31,24.67237240558861,28.7549040220403,32.83585654360159,513.385118445799,VALÈNCIA
2068-12-31,24.732416811445507,28.814563361167835,32.895126488014725,515.5932827292545,VALÈNCIA
2069-12-31,24.79246621806645,28.87422766898936,32.95440136869133,517.8016309184112,VALÈNCIA
2070-12-31,24.85252027468144,28.933896596984354,33.01368083938567,520.0101501135194,VALÈNCIA
2071-12-31,24.912578655124623,28.9935698210787,33.07296457813886,522.2188283196606,VALÈNCIA
2072-12-31,24.972641056108497,29.05324703992988,33.13225228557522,524.4276543832788,VALÈNCIA
2073-12-31,25.03270719561915,29.112927973332543,33.1915436833183,526.6366179331653,VALÈNCIA
2074-12-31,25.092776811424034,29.172612360735847,33.25083851251786,528.8457093255818,VALÈNCIA
2075-12-31,25.152849659684467,29.23229995986486,33.310136532480286,531.0549195932339,VALÈNCIA
2076-12-31,25.2129255136654,29.291990545438583,33.36943751939499,533.264240397822,VALÈNCIA
2077-12-31,25.27300416253573,29.351683907977996,33.42874126515022,535.4736639859228,VALÈNCIA
2078-12-31,25.333085410252743,29.4113798526976,33.48804757623182,537.6831831479634,VALÈNCIA
2079-12-31,25.3931690745248,29.4710781984748,33.5473562726994,539.8927911800737,VALÈNCIA
2080-12-31,25.453254985846804,29.530778776891545,33.60666718723414,542.1024818486155,VALÈNCIA
2081-12-31,25.51334298660329,29.59048143134316,33.66598016425353,544.3122493571981,VALÈNCIA
2082-12-31,25.573432930234464,29.650186016209744,33.72529505908814,546.5220883160089,VALÈNCIA
2083-12-31,25.633524680460724,29.70989239608566,33.7846117372161,548.7319937132944,VALÈNCIA
2084-12-31,25.693618110561555,29.76960044506306,33.84393007355138,550.9419608888418,VALÈNCIA
2085-12-31,25.75371310270504,29.82931004606568,33.903249951781845,553.151985509321,VALÈNCIA
2086-12-31,25.813809547324396,29.88902109022939,33.962571263753944,555.362063545356,VALÈNCIA
2087-12-31,25.87390734253817,29.94873347632613,34.0218939089003,557.5721912502045,VALÈNCIA
2088-12-31,25.93400639361125,30.008447110228296,34.08121779370771,559.7823651399326,VALÈNCIA
2089-12-31,25.994106612453542,30.068161904410736,34.14054283122227,561.9925819749814,VALÈNCIA
2090-12-31,26.05420791715389,30.127877777487583,34.199868940589326,564.2028387430252,VALÈNCIA
2091-12-31,26.11431023154664,30.18759465378164,34.25919604662563,566.4131326430324,VALÈNCIA
2092-12-31,26.174413484808632,30.24731246292395,34.31852407942151,568.6234610704455,VALÈNCIA
2093-12-31,26.23451761108452,30.307031139481484,34.37785297397102,570.8338216033987,VALÈNCIA
2094-12-31,26.294622549138232,30.36675062261089,34.43718266982793,573.0442119899044,VALÈNCIA
2095-12-31,26.35472824202901,30.426470855736568,34.49651311078591,575.2546301359359,VALÈNCIA
2096-12-31,26.41483463681012,30.48619178625132,34.55584424458113,577.4650740943493,VALÈNCIA
2097-12-31,26.47494168424864,30.54591336523798,34.6151760226157,579.6755420545793,VALÈNCIA
2098-12-31,26.53504933856506,30.605635547210607,34.67450839970056,581.8860323330597,VALÈNCIA
2099-12-31,26.59515755719096,30.66535828987378,34.73384133381636,584.0965433643152,VALÈNCIA
2100-12-31,26.655266300543826,30.72508155389883,34.793174785891125,586.3070736926778,VALÈNCIA
