fecha,tmin,tmed,tmax,co2
2058-12-31,27.65502297200274,33.67391763711847,40.681381735022114,493.52258938714164
2059-12-31,27.710181851019495,33.74862567070227,40.76520820573028,495.7283304859451
2060-12-31,27.76534957939483,33.823345689993346,40.8490481250529,497.9344254605753
2061-12-31,27.82052553640568,33.89807685427485,40.932900549660005,500.1408494890201
2062-12-31,27.875709144868548,33.97281838180058,41.01676460238991,502.347579490365
2063-12-31,27.93089986808547,34.047569545658554,41.1006394676079,504.55459400266625
2064-12-31,27.986097207004242,34.12232966992481,41.18452438689057,506.7618730693916
2065-12-31,28.041300697577817,34.197098126086885,41.26841865501282,508.9693981338252
2066-12-31,28.096509908308942,34.27187432971827,41.352321616216365,511.1771519408805
2067-12-31,28.15172443796698,34.346657737386025,41.43623266073993,513.385118445799
2068-12-31,28.20694391346495,34.421447843775404,41.52015122159293,515.5932827292545
2069-12-31,28.262167987885398,34.496244179016074,41.60407677155534,517.8016309184112
2070-12-31,28.317396338644805,34.57104630619597,41.688008820388085,520.0101501135194
2071-12-31,28.372628665786724,34.64585381904945,41.77194691223907,522.2188283196606
2072-12-31,28.42786469039462,34.72066633980769,41.855890623231154,524.4276543832788
2073-12-31,28.483104153116116,34.795483517199834,41.939839559219344,526.6366179331653
2074-12-31,28.538346812790614,34.870305024594266,42.02379335370525,528.8457093255818
2075-12-31,28.593592445173357,34.945130558270435,42.107751665897915,531.0549195932339
2076-12-31,28.64884084174881,35.019959835811704,42.19171417891053,533.264240397822
2077-12-31,28.704091808627435,35.09479259461109,42.2756805980838,535.4736639859228
2078-12-31,28.759345165519736,35.16962859048174,42.359650649426825,537.6831831479634
2079-12-31,28.814600744782293,35.24446759636483,42.443624078167254,539.8927911800737
2080-12-31,28.869858390530776,35.319309401128216,42.527600647403375,542.1024818486155
2081-12-31,28.925117957815072,35.39415380844924,42.6115801368505,544.3122493571981
2082-12-31,28.98037931185235,35.46900063577597,42.69556234167545,546.5220883160089
2083-12-31,29.035642327313898,35.54384971336127,42.77954707141271,548.7319937132944
2084-12-31,29.090906887661955,35.6187008833646,42.86353414895663,550.9419608888418
2085-12-31,29.14617288453312,35.69355399901691,42.94752340962437,553.151985509321
2086-12-31,29.201440217164933,35.76840892384398,43.03151470028442,555.362063545356
2087-12-31,29.256708791862774,35.843265530944365,43.1155078785465,557.5721912502045
2088-12-31,29.311978521504045,35.918123702317885,43.199502812007985,559.7823651399326
2089-12-31,29.36724932507722,35.99298332824128,43.28349937755342,561.9925819749814
2090-12-31,29.422521127253198,36.06784430668766,43.367497460703085,564.2028387430252
2091-12-31,29.477793857986697,36.14270654278663,43.45149695500726,566.4131326430324
2092-12-31,29.533067452145644,36.217569948322286,43.5354977614829,568.6234610704455
2093-12-31,29.588341849166547,36.292434441266515,43.61949978809002,570.8338216033987
2094-12-31,29.643616992734028,36.36729994534492,43.70350294924458,573.0442119899044
2095-12-31,29.69889283048286,36.4421663896332,43.78750716536568,575.2546301359359
2096-12-31,29.75416931372089,36.517033708181984,43.87151236245455,577.4650740943493
2097-12-31,29.80944639717138,36.59190183966774,43.95551847170285,579.6755420545793
2098-12-31,29.864724038733463,36.666770727068425,44.039525429128744,581.8860323330597
2099-12-31,29.92000219925936,36.74164031736167,44.123533175238265,584.0965433643152
2100-12-31,29.975280842347242,36.816510561244286,44.20754165471055,586.3070736926778
